epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
40,9568.06,0.1807,0.2657,0.07153,0.98941,0.9875,0.99477,0.83127,0.19903,0.2894,0.0944,2.278e-05,2.278e-05,2.278e-05
41,9801.95,0.15624,0.24404,0.0752,0.98598,0.99205,0.99486,0.82956,0.19926,0.29206,0.09491,2.08e-05,2.08e-05,2.08e-05
42,10035.7,0.15481,0.2434,0.0735,0.98707,0.99205,0.99484,0.83015,0.19841,0.29052,0.09458,1.882e-05,1.882e-05,1.882e-05
43,10268.9,0.15305,0.24174,0.07177,0.98552,0.99318,0.99483,0.83136,0.19848,0.29214,0.0942,1.684e-05,1.684e-05,1.684e-05
44,10502.2,0.15254,0.23984,0.07217,0.98425,0.99398,0.9948,0.83164,0.19779,0.2908,0.0941,1.486e-05,1.486e-05,1.486e-05
45,10737.1,0.14929,0.23726,0.07087,0.98312,0.99276,0.99461,0.83286,0.19738,0.29267,0.09389,1.288e-05,1.288e-05,1.288e-05
46,10969.8,0.14737,0.23639,0.06959,0.99058,0.99205,0.99471,0.83106,0.19794,0.29256,0.09384,1.09e-05,1.09e-05,1.09e-05
47,11203.1,0.14864,0.23585,0.07044,0.98963,0.99205,0.99486,0.83343,0.19754,0.29339,0.09396,8.92e-06,8.92e-06,8.92e-06
48,11435.5,0.14719,0.23584,0.06946,0.98579,0.98977,0.99479,0.83227,0.19747,0.29282,0.09391,6.94e-06,6.94e-06,6.94e-06
49,11667.7,0.1458,0.23387,0.06837,0.99074,0.98977,0.99478,0.83214,0.19752,0.29453,0.09375,4.96e-06,4.96e-06,4.96e-06
50,11900.7,0.14568,0.23311,0.06829,0.98753,0.98998,0.99483,0.83265,0.19699,0.29555,0.09364,2.98e-06,2.98e-06,2.98e-06
